wall_time,elapsed_s,yaw_deg,pitch_deg,roll_deg,flags,seq
2026-05-20T16:15:15,0.009,349.6694,2.6812,-0.1898,15,5
2026-05-20T16:15:16,1.009,348.6902,2.5908,0.1247,15,6
2026-05-20T16:15:17,2.008,348.1971,2.4445,0.0597,15,7
2026-05-20T16:15:18,3.008,347.6121,2.6765,0.1306,15,8
2026-05-20T16:15:19,4.008,346.6864,2.6149,0.1777,15,9
2026-05-20T16:15:20,5.008,346.3634,2.4354,-0.0025,15,10
2026-05-20T16:15:21,6.008,346.0808,2.0980,-0.0600,15,11
2026-05-20T16:15:22,7.009,345.1194,2.3803,-0.2194,15,12
2026-05-20T16:15:23,8.008,344.4019,2.4649,0.0046,15,13
2026-05-20T16:15:24,9.008,343.3142,2.3839,0.0499,15,14
2026-05-20T16:15:25,10.008,342.7860,2.5085,-0.1326,15,15
2026-05-20T16:15:26,11.008,342.3026,2.6308,-0.2542,15,16
2026-05-20T16:15:27,12.008,341.1284,2.6535,-0.2023,15,17
2026-05-20T16:15:28,13.008,340.0089,2.7768,-0.0742,15,18
2026-05-20T16:15:29,14.008,338.6960,2.9179,-0.0486,15,19
2026-05-20T16:15:30,15.008,337.8500,2.8547,-0.0915,15,20
2026-05-20T16:15:31,16.008,336.8044,2.9859,-0.3247,15,21
2026-05-20T16:15:32,17.008,335.5440,2.4787,-0.2128,15,22
2026-05-20T16:15:33,18.008,334.9067,2.6444,-0.3337,15,23
2026-05-20T16:15:34,19.009,333.9987,2.6884,-0.3319,15,24
2026-05-20T16:15:35,20.008,333.2379,2.0717,-0.1266,15,25
2026-05-20T16:15:36,21.008,332.3818,1.9536,-0.2371,15,26
2026-05-20T16:15:37,22.009,331.2248,1.9162,-0.2950,15,27
2026-05-20T16:15:38,23.009,330.1261,1.9753,-0.3414,15,28
2026-05-20T16:15:39,24.009,329.1727,2.2888,-0.4121,15,29
2026-05-20T16:15:40,25.009,328.5190,2.3572,-0.4633,15,30
2026-05-20T16:15:41,26.009,327.5377,2.4106,-0.6486,15,31
2026-05-20T16:15:42,27.009,326.3656,2.3686,-0.5489,15,32
2026-05-20T16:15:43,28.009,325.2794,2.4937,-0.8214,15,33
2026-05-20T16:15:44,29.007,324.3742,2.4039,-0.6942,15,34
2026-05-20T16:15:45,30.007,323.4026,2.2858,-0.8005,15,35
2026-05-20T16:15:46,31.007,322.1475,2.1468,-0.7473,15,36
2026-05-20T16:15:47,32.007,320.8366,2.0067,-0.5764,15,37
2026-05-20T16:15:48,33.007,319.4690,2.0078,-0.7049,15,38
2026-05-20T16:15:49,34.008,318.1702,1.8586,-0.7675,15,39
2026-05-20T16:15:50,35.007,317.4219,1.7741,-0.8932,15,40
2026-05-20T16:15:51,36.007,316.2806,1.6575,-0.6248,15,41
2026-05-20T16:15:52,37.007,315.1864,1.8210,-0.7733,15,42
2026-05-20T16:15:53,38.007,314.3529,1.7271,-0.7018,15,43
2026-05-20T16:15:54,39.007,313.6713,1.8054,-0.6775,15,44
2026-05-20T16:15:55,40.007,312.4056,1.9909,-0.8651,15,45
2026-05-20T16:15:56,41.005,311.4599,1.9357,-0.8183,15,46
